Model,Model_Type,Model_Size,Image_Name,Processing_Time_Seconds,Total_Detections_In_Image,Detected_Object,Confidence
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,dining table,0.584
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,cup,0.582
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,cup,0.551
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,bowl,0.484
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,cake,0.41
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,cup,0.269
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,cup,0.25
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,bowl,0.25
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,donut,0.219
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,cup,0.213
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,cake,0.172
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,cup,0.161
yolov8n-seg.pt,Segmentation,Nano,04a00c206b.jpg,7.754,13,sandwich,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.457,3,bowl,0.749
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.457,3,dining table,0.53
yolov8n-seg.pt,Segmentation,Nano,04a00c2902.jpg,0.457,3,bowl,0.13
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.361,4,bottle,0.131
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.361,4,bottle,0.123
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.361,4,cup,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00d1a97.jpg,0.361,4,cup,0.109
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.224,3,sandwich,0.641
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.224,3,dining table,0.419
yolov8n-seg.pt,Segmentation,Nano,04a00da0d1.jpg,0.224,3,dining table,0.122
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,bowl,0.835
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,bowl,0.822
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,person,0.78
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,person,0.723
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,bowl,0.406
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,dining table,0.379
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,person,0.192
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,person,0.155
yolov8n-seg.pt,Segmentation,Nano,04a00f3a25.jpg,0.217,9,dining table,0.103
yolov8n-seg.pt,Segmentation,Nano,04a0124350.jpg,0.248,2,pizza,0.631
yolov8n-seg.pt,Segmentation,Nano,04a0124350.jpg,0.248,2,dining table,0.157
yolov8n-seg.pt,Segmentation,Nano,04a012bd85.jpg,0.187,3,vase,0.499
yolov8n-seg.pt,Segmentation,Nano,04a012bd85.jpg,0.187,3,bowl,0.273
yolov8n-seg.pt,Segmentation,Nano,04a012bd85.jpg,0.187,3,cup,0.172
yolov8n-seg.pt,Segmentation,Nano,04a016c442.jpg,0.221,2,dining table,0.217
yolov8n-seg.pt,Segmentation,Nano,04a016c442.jpg,0.221,2,sandwich,0.179
yolov8n-seg.pt,Segmentation,Nano,04a0176097.jpg,0.213,1,fire hydrant,0.422
yolov8n-seg.pt,Segmentation,Nano,04a01b3fba.jpg,0.189,3,sandwich,0.242
yolov8n-seg.pt,Segmentation,Nano,04a01b3fba.jpg,0.189,3,pizza,0.118
yolov8n-seg.pt,Segmentation,Nano,04a01b3fba.jpg,0.189,3,hot dog,0.105
yolov8n-seg.pt,Segmentation,Nano,04a01cb51b.jpg,0.236,4,bowl,0.92
yolov8n-seg.pt,Segmentation,Nano,04a01cb51b.jpg,0.236,4,vase,0.624
yolov8n-seg.pt,Segmentation,Nano,04a01cb51b.jpg,0.236,4,dining table,0.563
yolov8n-seg.pt,Segmentation,Nano,04a01cb51b.jpg,0.236,4,apple,0.227
yolov8n-seg.pt,Segmentation,Nano,04a01efe21.jpg,0.225,3,cake,0.135
yolov8n-seg.pt,Segmentation,Nano,04a01efe21.jpg,0.225,3,pizza,0.126
yolov8n-seg.pt,Segmentation,Nano,04a01efe21.jpg,0.225,3,carrot,0.108
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,wine glass,0.804
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,dining table,0.528
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,spoon,0.438
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,spoon,0.228
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,banana,0.18
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,apple,0.152
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,apple,0.147
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,donut,0.122
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,carrot,0.119
yolov8n-seg.pt,Segmentation,Nano,04a01f1641.jpg,0.228,10,banana,0.114
yolov8n-seg.pt,Segmentation,Nano,04a020c105.jpg,0.173,3,teddy bear,0.645
yolov8n-seg.pt,Segmentation,Nano,04a020c105.jpg,0.173,3,teddy bear,0.282
yolov8n-seg.pt,Segmentation,Nano,04a020c105.jpg,0.173,3,teddy bear,0.228
yolov8n-seg.pt,Segmentation,Nano,04a0229f40.jpg,0.3,3,pizza,0.731
yolov8n-seg.pt,Segmentation,Nano,04a0229f40.jpg,0.3,3,dining table,0.153
yolov8n-seg.pt,Segmentation,Nano,04a0229f40.jpg,0.3,3,pizza,0.107
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.338,9,bowl,0.876
yolov8n-seg.pt,Segmentation,Nano,04a022d69d.jpg,0.338,9,spoon,0.804
